TITLE	URL	SIZE	LANGUAGE	LAST_CRAWL_TIME
deferred until inspiration hits	http://blog.seagul.co.uk/	12259	english	2008/01/11 03:18:04
In memory sqlite database for rails testing	http://blog.seagul.co.uk/articles/2006/02/08/in-memory-sqlite-database-for-rails-testing	24379	english	2008/01/13 07:01:55
Converting Egg Credit Card Statements to Ofx (for upload to wesabe)	http://blog.seagul.co.uk/articles/2007/04/01/converting-egg-credit-card-statements-to-ofx-for-upload-to-wesabe	22369	english	2008/01/09 10:12:18
Textmate command to display Active Record column attributes	http://blog.seagul.co.uk/articles/2006/07/14/textmate-command-to-display-active-record-column-attributes	28931	english	2008/01/13 08:03:18
Automatically download egg credit card transactions	http://blog.seagul.co.uk/articles/2007/06/23/automatically-download-egg-credit-card-transactions	19914	english	2008/01/13 02:37:40
Blue card user stories coming out of the reevoo.com feedback	http://blog.seagul.co.uk/articles/2007/08/31/blue-card-user-stories-coming-out-of-the-reevoo-com-feedback	13432	english	2008/01/12 01:56:43
Patching the del.icio.us firefox extension to add permalinks	http://blog.seagul.co.uk/articles/2007/09/05/patching-the-del-icio-us-firefox-extension-to-add-permalinks	13995	english	2008/01/16 10:16:26
Responses to reevoo.com feedback	http://blog.seagul.co.uk/articles/2007/08/23/responses-to-reevoo-com-feedback	34243	english	2008/01/11 12:30:05
Free google website optimizer isn't actually free	http://blog.seagul.co.uk/articles/2007/07/17/free-google-website-optimizer-isnt-actually-free	15952	english	2008/01/10 19:45:08
Automatically downloading my Ing Direct transactions	http://blog.seagul.co.uk/articles/2007/06/23/automatically-downloading-my-ing-direct-transactions	25042	english	2008/01/12 11:43:46
Train times by SMS (or, improving national rail enquiries)	http://blog.seagul.co.uk/articles/2007/07/24/train-times-by-sms-or-improving-national-rail-enquiries	14904	english	2008/01/12 23:38:41
Wesabe open up their API and ask me to help write their press release...	http://blog.seagul.co.uk/articles/2007/07/12/wesabe-open-up-their-api-and-ask-me-to-help-write-their-press-release	18110	english	2008/01/11 08:53:00
A new reevoo.com	http://blog.seagul.co.uk/articles/2007/08/01/a-new-reevoo-com	20425	english	2008/01/13 14:16:21
Permalinks for del.icio.us bookmarks (posts)	http://blog.seagul.co.uk/articles/2007/09/04/permalinks-for-del-icio-us-bookmarks-posts	23894	english	2008/01/14 23:33:40
Commenting on my del.icio.us bookmarks	http://blog.seagul.co.uk/articles/2007/09/29/commenting-on-my-del-icio-us-bookmarks	10029	english	2008/01/11 03:14:33
Automatically downloading my most recent Hsbc transactions	http://blog.seagul.co.uk/articles/2007/05/04/automatically-downloading-my-most-recent-hsbc-transactions	20642	english	2008/01/12 05:50:52
Web service to convert UK Postcodes (outcode) to Latitude and Longitude	http://blog.seagul.co.uk/articles/2007/07/13/web-service-to-convert-uk-postcodes-outcode-to-latitude-and-longitude	18531	english	2008/01/10 08:05:21
Holiday in Newqay	http://blog.seagul.co.uk/articles/2007/08/14/holiday-in-newqay	14359	english	2008/01/12 00:53:40
This makes me happy	http://blog.seagul.co.uk/articles/2007/06/23/this-makes-me-happy	11905	english	2008/01/10 14:37:49
Very simple Micro Id Verifier	http://blog.seagul.co.uk/articles/2006/07/05/very-simple-micro-id-verifier	9323	english	2008/01/14 12:20:12
Some realisations about testing	http://blog.seagul.co.uk/articles/2006/07/17/some-realisations-about-testing	15470	english	2008/01/13 03:35:32
Obtaining latitude/longitude for UK postcodes	http://blog.seagul.co.uk/articles/2007/04/03/obtaining-latitude-longitude-for-uk-postcodes	14276	english	2008/01/10 08:12:03
Monitoring the Mac OSX Filesystem with ruby	http://blog.seagul.co.uk/articles/2007/09/29/monitoring-the-mac-osx-filesystem-with-ruby	14232	english	2008/01/10 09:28:39
I really don't know whether this is spam or not...	http://blog.seagul.co.uk/articles/2007/06/13/i-really-dont-know-whether-this-is-spam-or-not	11933	english	2008/01/12 01:49:26
A great day at work and reevoovision (twittervision for reviews)	http://blog.seagul.co.uk/articles/2007/06/26/a-great-day-at-work-and-reevoovision-twittervision-for-reviews	15382	english	2008/01/11 07:43:08
Connecting to gmail with Ruby (or Connecting to POP3 servers over SSL with Ruby)	http://blog.seagul.co.uk/articles/2006/10/24/connecting-to-gmail-with-ruby-or-connecting-to-pop3-servers-over-ssl-with-ruby	22686	english	2008/01/14 11:54:52
Companies. You must make it simple for me to unsubscribe from your marketing shite.	http://blog.seagul.co.uk/articles/2007/09/21/companies-you-must-make-it-simple-for-me-to-unsubscribe-from-your-marketing-shite	11094	english	2008/01/11 02:33:15
deferred until inspiration hits	http://blog.seagul.co.uk/articles/	12259	english	2008/01/13 18:11:11
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/6	27474	english	2008/01/14 06:30:28
deferred until inspiration hits - tag curl	http://blog.seagul.co.uk/articles/tag/curl	43593	english	2008/01/10 12:46:16
deferred until inspiration hits - tag wesabe	http://blog.seagul.co.uk/articles/tag/wesabe	30398	english	2008/01/14 16:28:36
Linspire	http://blog.seagul.co.uk/articles/2005/09/06/linspire	9119	english	2007/12/14 20:59:36
deferred until inspiration hits: converting egg credit card ...	http://blog.seagul.co.uk/xml/rss20/article/1894/feed.xml	7047	english	2007/11/15 05:41:13
Pesky Scammers	http://blog.seagul.co.uk/articles/2007/05/17/pesky-scammers	11571	english	2007/12/28 11:43:47
My first reevoo!	http://blog.seagul.co.uk/articles/2006/03/08/my-first-reevoo	11419	english	2007/12/16 10:09:17
Reevoo.com and Seo	http://blog.seagul.co.uk/articles/2007/06/07/reevoo-com-and-seo	12280	english	2007/12/07 14:32:40
Homegrown gooogie	http://blog.seagul.co.uk/articles/2007/01/04/homegrown-gooogie	10771	english	2008/01/08 07:48:37
Tadalist bookmarklet	http://blog.seagul.co.uk/articles/2005/11/26/tadalist-bookmarklet	11018	english	2007/12/24 15:47:16
Recommended web host	http://blog.seagul.co.uk/articles/2006/09/09/recommended-web-host	11583	english	2007/11/24 09:19:09
Why should it do that?	http://blog.seagul.co.uk/articles/2007/09/27/why-should-it-do-that	20519	english	2008/01/16 05:14:51
Addicted to twitter.com	http://blog.seagul.co.uk/articles/2006/12/14/addicted-to-twitter-com	13795	english	2007/12/21 19:01:34
Reviews Reevoos Reviews	http://blog.seagul.co.uk/articles/2006/02/09/reviews-reevoos-reviews	9597	english	2007/12/21 17:13:47
Maybe I need some more REST	http://blog.seagul.co.uk/articles/2006/11/27/maybe-i-need-some-more-rest	16951	english	2007/12/06 17:39:10
Test::Unit abstract test case	http://blog.seagul.co.uk/articles/2006/07/17/test-unit-abstract-test-case	17382	english	2007/12/19 02:18:03
Crashing IE 6 with style(sheets)	http://blog.seagul.co.uk/articles/2007/02/15/crashing-ie-6-with-style-sheets	12808	english	2007/12/28 18:56:29
Digital Photo Prints from PhotoBox	http://blog.seagul.co.uk/articles/2007/03/04/digital-photo-prints-from-photobox	11635	english	2008/01/16 18:28:32
Rails rake testing without database	http://blog.seagul.co.uk/articles/2006/02/23/rails-rake-testing-without-database	12617	english	2007/12/13 14:56:49
Unified method_exists method for ruby	http://blog.seagul.co.uk/articles/2006/09/18/unified-method_exists-method-for-ruby	16085	english	2007/12/07 12:03:08
An open letter to my local newspapers	http://blog.seagul.co.uk/articles/2007/06/01/an-open-letter-to-my-local-newspapers	21745	english	2007/12/26 13:24:07
Testing my mod_rewrite configuration with ruby	http://blog.seagul.co.uk/articles/2008/01/16/testing-my-mod_rewrite-configuration-with-ruby	15038	english	2008/01/17 08:42:22
Tonic Systems TonicPoint free Powerpoint viewer	http://blog.seagul.co.uk/articles/2007/04/20/tonic-systems-tonicpoint-free-powerpoint-viewer	12676	english	2008/01/15 09:29:39
Using active record models in rails migrations	http://blog.seagul.co.uk/articles/2006/05/12/using-active-record-models-in-rails-migrations	16434	english	2007/12/12 17:55:02
TextMate and "env: ruby: No such file or directory"	http://blog.seagul.co.uk/articles/2006/07/28/textmate-and-env-ruby-no-such-file-or-directory	11619	english	2008/01/15 14:43:39
Reevoo.com dips its toes into the opensearch water	http://blog.seagul.co.uk/articles/2006/12/13/reevoo-com-dips-its-toes-into-the-opensearch-water	11397	english	2007/12/13 10:47:11
A little further investigation into those pesky scammers	http://blog.seagul.co.uk/articles/2007/06/06/a-little-further-investigation-into-those-pesky-scammers	12595	english	2007/12/10 14:45:12
Create rails projects using a specific rails gem version	http://blog.seagul.co.uk/articles/2006/08/14/create-rails-projects-using-a-specific-rails-gem-version	10147	english	2007/12/29 00:30:14
Combining distributed small tools as an alternative to Backpack et al	http://blog.seagul.co.uk/articles/2007/01/12/combining-distributed-small-tools-as-an-alternative-to-backpack-et-al	15951	english	2007/12/08 11:10:51
Steel mounted photographic wall prints (or, cool pictures printed on metal) in Thanet	http://blog.seagul.co.uk/articles/2007/06/07/steel-mounted-photographic-wall-prints-or-cool-pictures-printed-on-metal-in-thanet	14433	english	2008/01/14 10:32:57
	http://blog.seagul.co.uk/xml/rsd	636	english	2007/11/11 12:00:38
deferred until inspiration hits	http://blog.seagul.co.uk/articles/tag/	34859	english	2008/01/15 13:33:48
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/	12289	english	2008/01/15 04:55:31
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2006/	14688	english	2008/01/11 19:35:48
deferred until inspiration hits	http://blog.seagul.co.uk/articles/page/	4579	english	2008/01/13 21:24:01
Cyrus Imap on FreeBsd	http://blog.seagul.co.uk/pages/cyrus-imap	6873	english	2007/12/22 19:25:04
Testing Class::method_exists?	http://blog.seagul.co.uk/pages/20060918_testing_class_method_exists	10410	english	2007/12/16 12:48:25
Testing Method Responses - Full	http://blog.seagul.co.uk/pages/20060918_testing_method_responses_full	46098	english	2007/12/15 09:50:49
Testing Object#method_exists?	http://blog.seagul.co.uk/pages/20060918_testing_instance_method_exists	10445	english	2008/01/14 22:35:49
Testing Method Responses - Compact	http://blog.seagul.co.uk/pages/20060918_testing_method_responses_compact	15480	english	2007/12/10 13:50:59
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/8	37972	english	2008/01/11 10:37:04
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/7	22164	english	2008/01/15 18:55:47
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/5	19224	english	2008/01/13 00:27:00
deferred until inspiration hits	http://blog.seagul.co.uk/articles/page/3	16919	english	2008/01/09 12:01:28
deferred until inspiration hits	http://blog.seagul.co.uk/articles/page/2	17946	english	2008/01/17 06:55:52
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/1	36020	english	2008/01/05 22:50:41
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/3	9799	english	2008/01/09 16:59:51
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/9	17241	english	2008/01/13 19:43:20
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/4	13807	english	2008/01/07 15:34:23
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/2	8864	english	2007/12/16 03:40:38
deferred until inspiration hits	http://blog.seagul.co.uk/articles/page/1	12294	english	2008/01/11 06:05:23
deferred until inspiration hits	http://blog.seagul.co.uk/articles/page/4	15155	english	2008/01/15 23:35:58
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2006/3	14662	english	2007/12/18 06:40:20
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2006/6	19012	english	2007/12/09 08:57:40
deferred until inspiration hits - tag do	http://blog.seagul.co.uk/articles/tag/do	6622	english	2007/12/23 16:44:21
deferred until inspiration hits - tag up	http://blog.seagul.co.uk/articles/tag/up	5603	english	2007/12/16 07:04:58
deferred until inspiration hits - tag ie	http://blog.seagul.co.uk/articles/tag/ie	8873	english	2008/01/16 14:44:25
deferred until inspiration hits	http://blog.seagul.co.uk/articles/page/8	17412	english	2008/01/08 05:49:26
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2006/9	9164	english	2007/12/17 10:37:38
deferred until inspiration hits - tag to	http://blog.seagul.co.uk/articles/tag/to	6622	english	2008/01/05 03:52:06
deferred until inspiration hits	http://blog.seagul.co.uk/articles/page/5	15419	english	2007/12/22 17:46:20
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2006/5	16390	english	2007/10/31 02:23:20
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2006/7	23300	english	2007/10/29 15:31:53
deferred until inspiration hits	http://blog.seagul.co.uk/articles/2007/10	16445	english	2008/01/06 03:59:33
deferred until inspiration hits - tag ofx	http://blog.seagul.co.uk/articles/tag/ofx	16289	english	2008/01/14 22:56:27
deferred until inspiration hits - tag sms	http://blog.seagul.co.uk/articles/tag/sms	12485	english	2008/01/09 12:30:29
